epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202109,2021-03-05,338,SP,Franca,3516200,city,15079,4236.85238,0,358,0,0.0237,355901,False,True
202109,2021-03-04,337,SP,Franca,3516200,city,15079,4236.85238,0,358,0,0.0237,355901,False,True
202109,2021-03-03,336,SP,Franca,3516200,city,15079,4236.85238,0,358,0,0.0237,355901,False,True
202109,2021-03-02,335,SP,Franca,3516200,city,15079,4236.85238,163,358,3,0.0237,355901,True,False
202109,2021-03-01,334,SP,Franca,3516200,city,14916,4191.05313,0,355,0,0.0238,355901,False,True
202109,2021-02-28,333,SP,Franca,3516200,city,14916,4191.05313,61,355,1,0.0238,355901,False,False
202108,2021-02-27,332,SP,Franca,3516200,city,14855,4173.91353,79,354,7,0.0238,355901,False,False
202108,2021-02-26,331,SP,Franca,3516200,city,14776,4151.71635,124,347,4,0.0235,355901,False,False
202108,2021-02-25,330,SP,Franca,3516200,city,14652,4116.8752,268,343,9,0.0234,355901,False,False
202108,2021-02-24,329,SP,Franca,3516200,city,14384,4041.57336,207,334,2,0.0232,355901,False,False
202108,2021-02-23,328,SP,Franca,3516200,city,14177,3983.41112,194,332,0,0.0234,355901,False,False
202108,2021-02-22,327,SP,Franca,3516200,city,13983,3928.90158,13,332,0,0.0237,355901,False,False
202108,2021-02-21,326,SP,Franca,3516200,city,13970,3925.24888,34,332,0,0.0238,355901,False,False
202107,2021-02-20,325,SP,Franca,3516200,city,13936,3915.69566,94,332,1,0.0238,355901,False,False
202107,2021-02-19,324,SP,Franca,3516200,city,13842,3889.28382,179,331,0,0.0239,355901,False,False
202107,2021-02-18,323,SP,Franca,3516200,city,13663,3838.98893,111,331,1,0.0242,355901,False,False
202107,2021-02-17,322,SP,Franca,3516200,city,13552,3807.80048,134,330,6,0.0244,355901,False,False
202107,2021-02-16,321,SP,Franca,3516200,city,13418,3770.14956,219,324,3,0.0241,355901,False,False
202107,2021-02-15,320,SP,Franca,3516200,city,13199,3708.6156,11,321,0,0.0243,355901,False,False
202107,2021-02-14,319,SP,Franca,3516200,city,13188,3705.52485,10,321,0,0.0243,355901,False,False
202106,2021-02-13,318,SP,Franca,3516200,city,13178,3702.71508,116,321,2,0.0244,355901,False,False
202106,2021-02-12,317,SP,Franca,3516200,city,13062,3670.12175,130,319,1,0.0244,355901,False,False
202106,2021-02-11,316,SP,Franca,3516200,city,12932,3633.59474,161,318,3,0.0246,355901,False,False
202106,2021-02-10,315,SP,Franca,3516200,city,12771,3588.35744,219,315,1,0.0247,355901,False,False
202106,2021-02-09,314,SP,Franca,3516200,city,12552,3526.82347,143,314,7,0.025,355901,False,False
202106,2021-02-08,313,SP,Franca,3516200,city,12409,3486.64376,25,307,0,0.0247,355901,False,False
202106,2021-02-07,312,SP,Franca,3516200,city,12384,3479.61933,108,307,0,0.0248,355901,False,False
202105,2021-02-06,311,SP,Franca,3516200,city,12276,3449.27381,126,307,3,0.025,355901,False,False
202105,2021-02-05,310,SP,Franca,3516200,city,12150,3413.87071,142,304,2,0.025,355901,False,False
202105,2021-02-04,309,SP,Franca,3516200,city,12008,3373.97198,156,302,5,0.0251,355901,False,False
202105,2021-02-03,308,SP,Franca,3516200,city,11852,3330.13956,126,297,6,0.0251,355901,False,False
202105,2021-02-02,307,SP,Franca,3516200,city,11726,3294.73646,141,291,10,0.0248,355901,False,False
202105,2021-02-01,306,SP,Franca,3516200,city,11585,3255.1187,13,281,0,0.0243,355901,False,False
