date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-02,SP,Franca,city,15079,358,True,355901,3516200,4236.85238,0.0237
2021-02-28,SP,Franca,city,14916,355,False,355901,3516200,4191.05313,0.0238
2021-02-27,SP,Franca,city,14855,354,False,355901,3516200,4173.91353,0.0238
2021-02-26,SP,Franca,city,14776,347,False,355901,3516200,4151.71635,0.0235
2021-02-25,SP,Franca,city,14652,343,False,355901,3516200,4116.8752,0.0234
2021-02-24,SP,Franca,city,14384,334,False,355901,3516200,4041.57336,0.0232
2021-02-23,SP,Franca,city,14177,332,False,355901,3516200,3983.41112,0.0234
2021-02-22,SP,Franca,city,13983,332,False,355901,3516200,3928.90158,0.0237
2021-02-21,SP,Franca,city,13970,332,False,355901,3516200,3925.24888,0.0238
2021-02-20,SP,Franca,city,13936,332,False,355901,3516200,3915.69566,0.0238
2021-02-19,SP,Franca,city,13842,331,False,355901,3516200,3889.28382,0.0239
2021-02-18,SP,Franca,city,13663,331,False,355901,3516200,3838.98893,0.0242
2021-02-17,SP,Franca,city,13552,330,False,355901,3516200,3807.80048,0.0244
2021-02-16,SP,Franca,city,13418,324,False,355901,3516200,3770.14956,0.0241
2021-02-15,SP,Franca,city,13199,321,False,355901,3516200,3708.6156,0.0243
2021-02-14,SP,Franca,city,13188,321,False,355901,3516200,3705.52485,0.0243
2021-02-13,SP,Franca,city,13178,321,False,355901,3516200,3702.71508,0.0244
2021-02-12,SP,Franca,city,13062,319,False,355901,3516200,3670.12175,0.0244
2021-02-11,SP,Franca,city,12932,318,False,355901,3516200,3633.59474,0.0246
2021-02-10,SP,Franca,city,12771,315,False,355901,3516200,3588.35744,0.0247
2021-02-09,SP,Franca,city,12552,314,False,355901,3516200,3526.82347,0.025
2021-02-08,SP,Franca,city,12409,307,False,355901,3516200,3486.64376,0.0247
2021-02-07,SP,Franca,city,12384,307,False,355901,3516200,3479.61933,0.0248
2021-02-06,SP,Franca,city,12276,307,False,355901,3516200,3449.27381,0.025
2021-02-05,SP,Franca,city,12150,304,False,355901,3516200,3413.87071,0.025
2021-02-04,SP,Franca,city,12008,302,False,355901,3516200,3373.97198,0.0251
2021-02-03,SP,Franca,city,11852,297,False,355901,3516200,3330.13956,0.0251
2021-02-02,SP,Franca,city,11726,291,False,355901,3516200,3294.73646,0.0248
2021-02-01,SP,Franca,city,11585,281,False,355901,3516200,3255.1187,0.0243
2021-01-31,SP,Franca,city,11572,281,False,355901,3516200,3251.466,0.0243
2021-01-30,SP,Franca,city,11511,281,False,355901,3516200,3234.3264,0.0244
2021-01-29,SP,Franca,city,11367,276,False,355901,3516200,3193.86571,0.0243
2021-01-28,SP,Franca,city,11123,275,False,355901,3516200,3125.30732,0.0247
2021-01-27,SP,Franca,city,10808,275,False,355901,3516200,3036.79956,0.0254
2021-01-26,SP,Franca,city,10582,272,False,355901,3516200,2973.29875,0.0257
