date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-02,SP,Adamantina,city,1443,34,True,35111,3500105,4109.82313,0.0236
2021-03-02,SP,Adolfo,city,248,6,True,3554,3500204,6978.0529,0.0242
2021-03-02,SP,Aguaí,city,1087,21,True,36648,3500303,2966.05545,0.0193
2021-03-02,SP,Águas da Prata,city,216,7,True,8221,3500402,2627.41759,0.0324
2021-03-02,SP,Águas de Lindóia,city,639,12,True,18808,3500501,3397.49043,0.0188
2021-03-02,SP,Águas de Santa Bárbara,city,205,2,True,6109,3500550,3355.7047,0.0098
2021-03-02,SP,Águas de São Pedro,city,138,2,True,3521,3500600,3919.3411,0.0145
2021-03-02,SP,Agudos,city,1549,25,True,37401,3500709,4141.60049,0.0161
2021-03-02,SP,Alambari,city,229,6,True,6129,3500758,3736.33545,0.0262
2021-03-02,SP,Alfredo Marcondes,city,136,4,True,4184,3500808,3250.47801,0.0294
2021-03-02,SP,Altair,city,77,5,True,4186,3500907,1839.46488,0.0649
2021-03-02,SP,Altinópolis,city,500,15,True,16203,3501004,3085.8483,0.03
2021-03-02,SP,Alto Alegre,city,150,4,True,4088,3501103,3669.27593,0.0267
2021-03-02,SP,Alumínio,city,685,21,True,18767,3501152,3650.02398,0.0307
2021-03-02,SP,Álvares Florence,city,177,7,True,3647,3501202,4853.30409,0.0395
2021-03-02,SP,Álvares Machado,city,690,16,True,24998,3501301,2760.22082,0.0232
2021-03-02,SP,Álvaro de Carvalho,city,101,4,True,5274,3501400,1915.05499,0.0396
2021-03-02,SP,Alvinlândia,city,57,0,True,3237,3501509,1760.88971,0.0
2021-03-02,SP,Americana,city,10955,284,True,242018,3501608,4526.52282,0.0259
2021-03-02,SP,Américo Brasiliense,city,2257,40,True,41032,3501707,5500.58491,0.0177
2021-03-02,SP,Américo de Campos,city,441,14,True,5981,3501806,7373.34894,0.0317
2021-03-02,SP,Amparo,city,2793,54,True,72677,3501905,3843.0315,0.0193
2021-03-02,SP,Analândia,city,187,3,True,5056,3502002,3698.57595,0.016
2021-03-02,SP,Andradina,city,3007,104,True,57202,3502101,5256.8092,0.0346
2021-03-02,SP,Angatuba,city,769,23,True,25479,3502200,3018.17183,0.0299
2021-03-02,SP,Anhembi,city,88,2,True,6819,3502309,1290.51181,0.0227
2021-03-02,SP,Anhumas,city,151,1,True,4144,3502408,3643.82239,0.0066
2021-03-02,SP,Aparecida,city,1249,34,True,36185,3502507,3451.70651,0.0272
2021-03-02,SP,Aparecida d'Oeste,city,421,10,True,4158,3502606,10125.06013,0.0238
2021-03-02,SP,Apiaí,city,621,20,True,24226,3502705,2563.36168,0.0322
2021-03-02,SP,Araçariguama,city,785,22,True,22860,3502754,3433.94576,0.028
2021-03-02,SP,Araçatuba,city,14671,301,True,198129,3502804,7404.77164,0.0205
2021-03-02,SP,Araçoiaba da Serra,city,1348,28,True,34776,3502903,3876.23648,0.0208
2021-03-02,SP,Aramina,city,189,7,True,5655,3503000,3342.17507,0.037
2021-03-02,SP,Arandu,city,137,7,True,6365,3503109,2152.39592,0.0511
2021-03-02,SP,Arapeí,city,138,2,True,2460,3503158,5609.7561,0.0145
2021-03-02,SP,Araraquara,city,11479,188,True,238339,3503208,4816.24912,0.0164
2021-03-02,SP,Araras,city,8383,160,True,135506,3503307,6186.44193,0.0191
2021-03-02,SP,Arco-Íris,city,56,4,True,1773,3503356,3158.48844,0.0714
2021-03-02,SP,Arealva,city,367,2,True,8613,3503406,4261.00081,0.0054
2021-03-02,SP,Areias,city,177,1,True,3896,3503505,4543.12115,0.0056
2021-03-02,SP,Areiópolis,city,389,5,True,11158,3503604,3486.28787,0.0129
2021-03-02,SP,Ariranha,city,252,12,True,9761,3503703,2581.70269,0.0476
2021-03-02,SP,Artur Nogueira,city,2004,50,True,55340,3503802,3621.25045,0.025
2021-03-02,SP,Arujá,city,3950,131,True,91157,3503901,4333.18341,0.0332
2021-03-02,SP,Aspásia,city,67,2,True,1818,3503950,3685.36854,0.0299
2021-03-02,SP,Assis,city,3679,64,True,105087,3504008,3500.90877,0.0174
2021-03-02,SP,Atibaia,city,5851,105,True,144088,3504107,4060.7129,0.0179
2021-03-02,SP,Auriflama,city,922,19,True,15253,3504206,6044.71252,0.0206
2021-03-02,SP,Avaí,city,160,3,True,5436,3504305,2943.34069,0.0187
2021-03-02,SP,Avanhandava,city,354,14,True,13859,3504404,2554.29685,0.0395
2021-03-02,SP,Avaré,city,2755,47,True,91232,3504503,3019.77376,0.0171
2021-03-02,SP,Bady Bassitt,city,1628,25,True,17761,3504602,9166.15055,0.0154
2021-03-02,SP,Balbinos,city,276,3,True,5934,3504701,4651.16279,0.0109
2021-03-02,SP,Bálsamo,city,804,31,True,9139,3504800,8797.46143,0.0386
2021-03-02,SP,Bananal,city,540,2,True,10993,3504909,4912.21687,0.0037
2021-03-02,SP,Barão de Antonina,city,44,1,True,3498,3505005,1257.86164,0.0227
2021-03-02,SP,Barbosa,city,251,5,True,7468,3505104,3361.00696,0.0199
2021-03-02,SP,Bariri,city,1773,46,True,35558,3505203,4986.2197,0.0259
2021-03-02,SP,Barra Bonita,city,2154,44,True,36126,3505302,5962.46471,0.0204
2021-03-02,SP,Barra do Chapéu,city,177,0,True,5760,3505351,3072.91667,0.0
