epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202109,2021-03-02,335,SP,Franca,3516200,city,15079,4236.85238,163,358,3,0.0237,355901,True,False
202109,2021-03-02,337,SP,Franco da Rocha,3516408,city,4622,2953.50561,34,158,0,0.0342,156492,True,False
202109,2021-02-28,333,SP,Franca,3516200,city,14916,4191.05313,61,355,1,0.0238,355901,False,False
202109,2021-02-28,335,SP,Franco da Rocha,3516408,city,4588,2931.77926,16,158,0,0.0344,156492,False,False
202108,2021-02-27,332,SP,Franca,3516200,city,14855,4173.91353,79,354,7,0.0238,355901,False,False
202108,2021-02-27,334,SP,Franco da Rocha,3516408,city,4572,2921.5551,33,158,0,0.0346,156492,False,False
202108,2021-02-26,331,SP,Franca,3516200,city,14776,4151.71635,124,347,4,0.0235,355901,False,False
202108,2021-02-26,333,SP,Franco da Rocha,3516408,city,4539,2900.46776,70,158,0,0.0348,156492,False,False
202108,2021-02-25,330,SP,Franca,3516200,city,14652,4116.8752,268,343,9,0.0234,355901,False,False
202108,2021-02-25,332,SP,Franco da Rocha,3516408,city,4469,2855.73703,13,158,2,0.0354,156492,False,False
202108,2021-02-24,329,SP,Franca,3516200,city,14384,4041.57336,207,334,2,0.0232,355901,False,False
202108,2021-02-24,331,SP,Franco da Rocha,3516408,city,4456,2847.4299,50,156,0,0.035,156492,False,False
202108,2021-02-23,328,SP,Franca,3516200,city,14177,3983.41112,194,332,0,0.0234,355901,False,False
202108,2021-02-23,330,SP,Franco da Rocha,3516408,city,4406,2815.47939,85,156,1,0.0354,156492,False,False
202108,2021-02-22,327,SP,Franca,3516200,city,13983,3928.90158,13,332,0,0.0237,355901,False,False
202108,2021-02-22,329,SP,Franco da Rocha,3516408,city,4321,2761.16351,1,155,0,0.0359,156492,False,False
202108,2021-02-21,326,SP,Franca,3516200,city,13970,3925.24888,34,332,0,0.0238,355901,False,False
202108,2021-02-21,328,SP,Franco da Rocha,3516408,city,4320,2760.5245,19,155,0,0.0359,156492,False,False
202107,2021-02-20,325,SP,Franca,3516200,city,13936,3915.69566,94,332,1,0.0238,355901,False,False
202107,2021-02-20,327,SP,Franco da Rocha,3516408,city,4301,2748.3833,61,155,1,0.036,156492,False,False
202107,2021-02-19,324,SP,Franca,3516200,city,13842,3889.28382,179,331,0,0.0239,355901,False,False
202107,2021-02-19,326,SP,Franco da Rocha,3516408,city,4240,2709.40368,37,154,0,0.0363,156492,False,False
202107,2021-02-18,323,SP,Franca,3516200,city,13663,3838.98893,111,331,1,0.0242,355901,False,False
202107,2021-02-18,325,SP,Franco da Rocha,3516408,city,4203,2685.76029,79,154,2,0.0366,156492,False,False
202107,2021-02-17,322,SP,Franca,3516200,city,13552,3807.80048,134,330,6,0.0244,355901,False,False
202107,2021-02-17,324,SP,Franco da Rocha,3516408,city,4124,2635.27848,34,152,0,0.0369,156492,False,False
202107,2021-02-16,321,SP,Franca,3516200,city,13418,3770.14956,219,324,3,0.0241,355901,False,False
202107,2021-02-16,323,SP,Franco da Rocha,3516408,city,4090,2613.55213,98,152,0,0.0372,156492,False,False
202107,2021-02-15,320,SP,Franca,3516200,city,13199,3708.6156,11,321,0,0.0243,355901,False,False
202107,2021-02-15,322,SP,Franco da Rocha,3516408,city,3992,2550.92912,1,152,0,0.0381,156492,False,False
202107,2021-02-14,319,SP,Franca,3516200,city,13188,3705.52485,10,321,0,0.0243,355901,False,False
202107,2021-02-14,321,SP,Franco da Rocha,3516408,city,3991,2550.29011,7,152,0,0.0381,156492,False,False
202106,2021-02-13,318,SP,Franca,3516200,city,13178,3702.71508,116,321,2,0.0244,355901,False,False
202106,2021-02-13,320,SP,Franco da Rocha,3516408,city,3984,2545.81704,62,152,0,0.0382,156492,False,False
202106,2021-02-12,317,SP,Franca,3516200,city,13062,3670.12175,130,319,1,0.0244,355901,False,False
202106,2021-02-12,319,SP,Franco da Rocha,3516408,city,3922,2506.1984,54,152,0,0.0388,156492,False,False
202106,2021-02-11,316,SP,Franca,3516200,city,12932,3633.59474,161,318,3,0.0246,355901,False,False
202106,2021-02-11,318,SP,Franco da Rocha,3516408,city,3868,2471.69184,29,152,0,0.0393,156492,False,False
202106,2021-02-10,315,SP,Franca,3516200,city,12771,3588.35744,219,315,1,0.0247,355901,False,False
202106,2021-02-10,317,SP,Franco da Rocha,3516408,city,3839,2453.16054,69,152,1,0.0396,156492,False,False
202106,2021-02-09,314,SP,Franca,3516200,city,12552,3526.82347,143,314,7,0.025,355901,False,False
202106,2021-02-09,316,SP,Franco da Rocha,3516408,city,3770,2409.06883,46,151,4,0.0401,156492,False,False
202106,2021-02-08,313,SP,Franca,3516200,city,12409,3486.64376,25,307,0,0.0247,355901,False,False
202106,2021-02-08,315,SP,Franco da Rocha,3516408,city,3724,2379.67436,3,147,0,0.0395,156492,False,False
202106,2021-02-07,312,SP,Franca,3516200,city,12384,3479.61933,108,307,0,0.0248,355901,False,False
202106,2021-02-07,314,SP,Franco da Rocha,3516408,city,3721,2377.75733,2,147,0,0.0395,156492,False,False
202105,2021-02-06,311,SP,Franca,3516200,city,12276,3449.27381,126,307,3,0.025,355901,False,False
202105,2021-02-06,313,SP,Franco da Rocha,3516408,city,3719,2376.47931,40,147,0,0.0395,156492,False,False
202105,2021-02-05,310,SP,Franca,3516200,city,12150,3413.87071,142,304,2,0.025,355901,False,False
202105,2021-02-05,312,SP,Franco da Rocha,3516408,city,3679,2350.9189,33,147,0,0.04,156492,False,False
202105,2021-02-04,309,SP,Franca,3516200,city,12008,3373.97198,156,302,5,0.0251,355901,False,False
202105,2021-02-04,311,SP,Franco da Rocha,3516408,city,3646,2329.83156,37,147,0,0.0403,156492,False,False
202105,2021-02-03,308,SP,Franca,3516200,city,11852,3330.13956,126,297,6,0.0251,355901,False,False
202105,2021-02-03,310,SP,Franco da Rocha,3516408,city,3609,2306.18818,5,147,0,0.0407,156492,False,False
202105,2021-02-02,307,SP,Franca,3516200,city,11726,3294.73646,141,291,10,0.0248,355901,False,False
202105,2021-02-02,309,SP,Franco da Rocha,3516408,city,3604,2302.99312,3,147,0,0.0408,156492,False,False
202105,2021-02-01,306,SP,Franca,3516200,city,11585,3255.1187,13,281,0,0.0243,355901,False,False
202105,2021-02-01,308,SP,Franco da Rocha,3516408,city,3601,2301.07609,0,147,0,0.0408,156492,False,False
202105,2021-01-31,305,SP,Franca,3516200,city,11572,3251.466,61,281,0,0.0243,355901,False,False
202105,2021-01-31,307,SP,Franco da Rocha,3516408,city,3601,2301.07609,1,147,0,0.0408,156492,False,False
202104,2021-01-30,304,SP,Franca,3516200,city,11511,3234.3264,144,281,5,0.0244,355901,False,False
202104,2021-01-30,306,SP,Franco da Rocha,3516408,city,3600,2300.43708,7,147,0,0.0408,156492,False,False
202104,2021-01-29,303,SP,Franca,3516200,city,11367,3193.86571,244,276,1,0.0243,355901,False,False
202104,2021-01-29,305,SP,Franco da Rocha,3516408,city,3593,2295.96401,3,147,1,0.0409,156492,False,False
202104,2021-01-28,302,SP,Franca,3516200,city,11123,3125.30732,315,275,0,0.0247,355901,False,False
202104,2021-01-28,304,SP,Franco da Rocha,3516408,city,3590,2294.04698,2,146,0,0.0407,156492,False,False
202104,2021-01-27,301,SP,Franca,3516200,city,10808,3036.79956,226,275,3,0.0254,355901,False,False
202104,2021-01-27,303,SP,Franco da Rocha,3516408,city,3588,2292.76896,10,146,2,0.0407,156492,False,False
202104,2021-01-26,300,SP,Franca,3516200,city,10582,2973.29875,286,272,3,0.0257,355901,False,False
202104,2021-01-26,302,SP,Franco da Rocha,3516408,city,3578,2286.37886,3,144,0,0.0402,156492,False,False
202104,2021-01-25,299,SP,Franca,3516200,city,10296,2892.93933,12,269,3,0.0261,355901,False,False
202104,2021-01-25,301,SP,Franco da Rocha,3516408,city,3575,2284.46183,0,144,0,0.0403,156492,False,False
202104,2021-01-24,298,SP,Franca,3516200,city,10284,2889.5676,6,266,4,0.0259,355901,False,False
202104,2021-01-24,300,SP,Franco da Rocha,3516408,city,3575,2284.46183,0,144,0,0.0403,156492,False,False
202103,2021-01-23,297,SP,Franca,3516200,city,10278,2887.88174,238,262,2,0.0255,355901,False,False
202103,2021-01-23,299,SP,Franco da Rocha,3516408,city,3575,2284.46183,4,144,0,0.0403,156492,False,False
202103,2021-01-22,296,SP,Franca,3516200,city,10040,2821.00921,46,260,4,0.0259,355901,False,False
202103,2021-01-22,298,SP,Franco da Rocha,3516408,city,3571,2281.90578,6,144,1,0.0403,156492,False,False
202103,2021-01-21,295,SP,Franca,3516200,city,9994,2808.08427,350,256,6,0.0256,355901,False,False
